line,page,dates,month,day,year,time,plot,mass,svl,tl,sex,gravid,group,clutch,color,recap,mark,id,damage
473,15,6/4/08,6,4,2008,N,7,0.45,30,56,U,N,U,NA,R,NA,NA,272,Y
455,15,6/4/08,6,4,2008,N,4,0.453,30,64,U,N,U,NA,R,NA,NA,255,N
2385,77,5/29/09,5,29,2009,N,9,0.468,30,65,U,N,U,NA,R,NA,NA,1739,N
2646,85,6/19/09,6,19,2009,N,3,0.473,30,60,U,N,U,NA,R,NA,NA,1883,N
2852,91,5/7/11,5,7,2011,N,9,0.485,30,60,U,N,U,NA,R,N,NA,2109,N
421,14,6/1/08,6,1,2008,D,3,0.497,30,55,U,N,U,NA,R,NA,NA,224,N
453,15,6/4/08,6,4,2008,N,4,0.499,30,60,U,N,U,NA,R,NA,NA,253,N
580,19,6/5/08,6,5,2008,N,3,0.506,30,56,U,N,U,NA,R,NA,NA,377,N
270,9,5/31/08,5,31,2008,N,9,0.507,30,54,U,N,U,NA,R,NA,NA,110,N
816,26,6/17/08,6,17,2008,N,7,0.524,30,62,U,N,U,NA,R,NA,NA,607,N
2266,73,5/17/09,5,17,2009,N,7,0.305,31,42,U,N,U,NA,R,NA,NA,1610,Y
1219,39,9/14/08,9,14,2008,N,4,0.305,31,43,U,N,U,NA,R,NA,NA,NA,N
2439,76,5/27/09,5,27,2009,N,5,0.312,31,43,U,N,U,NA,R,NA,NA,1660,Y
1867,61,4/22/09,4,22,2009,N,5,0.312,31,54,U,N,U,NA,R,NA,NA,1402,N
2829,90,5/4/11,5,4,2011,N,3,0.317,31,48,U,N,U,NA,R,N,NA,2086,Y
1195,39,9/14/08,9,14,2008,N,1,0.322,31,45,U,N,U,NA,R,NA,NA,NA,N
1770,58,4/21/09,4,21,2009,N,4,0.323,31,49,U,N,U,NA,R,NA,NA,1298,N
3087,98,5/20/11,5,20,2011,N,5,0.324,31,35,U,N,U,NA,R,N,NA,2363,Y
1461,47,10/28/08,10,28,2008,N,5,0.331,31,50,U,N,U,NA,R,NA,NA,1120,N
2567,83,6/12/09,6,12,2009,N,5,0.332,31,36,U,N,U,NA,R,NA,NA,NA,Y
1112,35,9/9/08,9,9,2008,N,9,0.338,31,55,U,N,U,NA,R,NA,NA,NA,N
2874,91,5/7/11,5,7,2011,N,5,0.34,31,49,U,N,U,NA,R,N,NA,2131,N
2351,75,5/29/09,5,29,2009,N,4,0.343,31,53,U,N,U,NA,R,NA,NA,1800,Y
1493,49,11/1/08,11,1,2008,D,7,0.344,31,49,U,N,U,NA,R,NA,NA,1023,N
2665,86,7/2/09,7,2,2009,N,5,0.345,31,47,U,N,U,NA,R,NA,NA,NA,Y
1949,63,4/22/09,4,22,2009,N,7,0.348,31,51,U,N,U,NA,NA,NA,NA,NA,Y
1903,62,4/21/09,4,21,2009,N,4,0.351,31,52,U,N,U,NA,R,NA,NA,1372,N
2080,67,5/7/09,5,7,2009,N,7,0.352,31,38,U,N,U,NA,R,NA,NA,1492,Y
2242,72,5/14/09,5,14,2009,N,4,0.357,31,49,U,N,U,NA,TAN,NA,NA,1570,Y
3018,96,5/20/11,5,20,2011,N,9,0.359,31,56,U,N,U,NA,R,N,NA,2275,N
2710,87,8/29/09,8,29,2009,N,3,0.359,31,54,U,N,U,NA,R,NA,NA,2007,N
2300,74,5/28/09,5,28,2009,N,5,0.362,31,56,U,N,U,NA,R,NA,NA,1671,N
3098,98,5/23/11,5,23,2011,N,9,0.363,31,48,U,N,U,NA,R,N,NA,2374,Y
558,18,6/5/08,6,5,2008,N,7,0.363,31,41,U,N,U,NA,R,NA,NA,355,Y
2709,87,8/29/09,8,29,2009,N,3,0.363,31,49,U,N,U,NA,R,NA,NA,2006,N
2039,66,5/7/09,5,7,2009,N,4,0.364,31,39,U,N,U,NA,R,NA,NA,1513,Y
1841,60,4/21/09,4,21,2009,N,5,0.365,31,56,U,N,U,NA,R,NA,NA,1385,N
1649,54,11/15/08,11,15,2008,N,5,0.366,31,54,U,N,U,NA,R,NA,NA,1177,Y
2392,78,5/29/09,5,29,2009,N,9,0.366,31,51,U,N,U,NA,R,NA,NA,1746,N
1108,35,9/9/08,9,9,2008,N,9,0.367,31,54,U,N,U,NA,R,NA,NA,NA,N
524,17,6/5/08,6,5,2008,N,4,0.369,31,49,U,N,U,NA,R,NA,NA,332,N
21,1,5/17/08,5,17,2008,N,3,0.369,31,55,U,N,U,NA,R,NA,NA,NA,N
1356,44,10/9/08,10,9,2008,N,4,0.369,31,53,U,N,U,NA,R,NA,NA,NA,N
1531,50,11/6/08,11,6,2008,N,9,0.37,31,43,U,N,U,NA,R,NA,NA,1146,Y
1305,42,9/28/08,9,28,2008,N,5,0.37,31,47,U,N,U,NA,R,NA,NA,NA,Y
2033,66,5/7/09,5,7,2009,N,4,0.372,31,59,U,N,U,NA,R,NA,NA,1507,N
2935,93,5/15/11,5,15,2011,N,5,0.373,31,54,U,N,U,NA,R,N,NA,2192,N
1198,39,9/14/08,9,14,2008,N,1,0.373,31,56,U,N,U,NA,TAN,NA,NA,NA,N
1781,58,4/21/09,4,21,2009,N,9,0.375,31,57,U,N,U,NA,R,NA,NA,1309,N
2271,73,5/27/09,5,27,2009,N,4,0.376,31,55,U,N,U,NA,R,NA,NA,1615,N
2256,72,5/14/09,5,14,2009,N,4,0.377,31,47,U,N,U,NA,R,NA,NA,1584,Y
844,27,6/17/08,6,17,2008,N,4,0.381,31,45,U,N,U,NA,R,NA,NA,635,Y
1568,51,11/8/08,11,8,2008,N,7,0.381,31,36,U,N,U,NA,R,NA,NA,NA,Y
2702,87,8/22/09,8,22,2009,N,9,0.382,31,59,U,N,U,NA,R,NA,NA,1999,N
1292,42,9/28/08,9,28,2008,N,9,0.382,31,54,U,N,U,NA,R,NA,NA,NA,N
2788,89,5/4/11,5,4,2011,N,9,0.384,31,58,U,N,U,NA,R,N,NA,2045,N
2068,67,5/7/09,5,7,2009,N,1,0.384,31,57,U,N,U,NA,R,NA,NA,1480,N
1368,44,10/9/08,10,9,2008,N,7,0.386,31,53,U,N,U,NA,R,NA,NA,NA,N
3015,96,5/20/11,5,20,2011,N,9,0.388,31,45,U,N,U,NA,R,N,NA,2272,Y
183,6,5/22/08,5,22,2008,D,4,0.388,31,55,U,N,U,NA,R,NA,NA,28,N
1618,53,11/8/08,11,8,2008,N,4,0.388,31,51,U,N,U,NA,R,NA,NA,NA,Y
2843,91,5/4/11,5,4,2011,N,3,0.389,31,51,U,N,U,NA,R,N,NA,2100,Y
2595,84,6/12/09,6,12,2009,N,7,0.39,31,56,U,N,U,NA,R,NA,NA,NA,N
2870,91,5/7/11,5,7,2011,N,5,0.391,31,58,U,N,U,NA,R,N,NA,2127,N
2809,90,5/4/11,5,4,2011,N,4,0.393,31,49,U,N,U,NA,R,N,NA,2066,Y
26,1,5/17/08,5,17,2008,D,4,0.393,31,56,U,N,U,NA,R,NA,NA,NA,N
1757,57,4/21/09,4,21,2009,N,3,0.394,31,55,U,N,U,NA,R,NA,NA,1285,N
1402,45,10/16/08,10,16,2008,N,5,0.394,31,56,U,N,U,NA,R,NA,NA,1012,N
897,28,6/22/08,6,22,2008,N,5,0.396,31,52,U,N,U,NA,R,NA,NA,687,N
1630,53,11/15/08,11,15,2008,N,5,0.397,31,59,U,N,U,NA,R,NA,NA,1165,N
1421,46,10/16/08,10,16,2008,N,3,0.397,31,54,U,N,U,NA,R,NA,NA,1031,N
1297,42,9/28/08,9,28,2008,N,5,0.398,31,54,U,N,U,NA,R,NA,NA,NA,N
474,15,6/4/08,6,4,2008,N,7,0.4,31,50,U,N,U,NA,R,NA,NA,273,N
187,7,5/22/08,5,22,2008,D,3,0.404,31,63,U,N,U,NA,R,NA,NA,32,N
1425,46,10/16/08,10,16,2008,N,9,0.404,31,58,U,N,U,NA,R,NA,NA,1035,N
311,10,5/31/08,5,31,2008,N,7,0.405,31,56,U,N,U,NA,R,NA,NA,148,N
2873,91,5/7/11,5,7,2011,N,5,0.411,31,56,U,N,U,NA,R,N,NA,2130,N
2357,77,5/28/09,5,28,2009,N,7,0.413,31,57,U,N,U,NA,R,NA,NA,1694,N
2152,69,5/9/09,5,9,2009,N,5,0.414,31,50,U,N,U,NA,R,NA,NA,NA,Y
1007,32,8/16/08,8,16,2008,N,7,0.414,31,58,U,N,U,NA,R,NA,NA,NA,N
725,23,6/15/08,6,15,2008,N,7,0.415,31,46,U,N,U,NA,R,NA,NA,522,Y
739,23,6/15/08,6,15,2008,N,9,0.415,31,56,U,N,U,NA,R,NA,NA,536,N
879,28,6/20/08,6,20,2008,N,9,0.417,31,57,U,N,U,NA,R,NA,NA,669,Y
3085,98,5/20/11,5,20,2011,N,5,0.423,31,52,U,N,U,NA,R,N,NA,2361,Y
324,11,5/31/08,5,31,2008,N,7,0.424,31,50,U,N,U,NA,R,NA,NA,160,Y
405,13,6/1/08,6,1,2008,D,5,0.427,31,58,U,N,U,NA,R,NA,NA,209,N
30,1,5/17/08,5,17,2008,D,4,0.431,31,60,U,N,U,NA,R,NA,NA,NA,N
3053,97,5/20/11,5,20,2011,N,4,0.435,31,48,U,N,U,NA,R,N,NA,2329,Y
385,13,5/31/08,5,31,2008,N,4,0.435,31,54,U,N,U,NA,R,NA,NA,NA,Y
1589,52,11/8/08,11,8,2008,N,3,0.436,31,59,U,N,U,NA,R,NA,NA,NA,N
170,6,5/22/08,5,22,2008,N,7,0.44,31,54,U,N,U,NA,R,NA,NA,16,N
732,23,6/15/08,6,15,2008,N,5,0.444,31,53,U,N,U,NA,R,NA,NA,529,N
724,23,6/15/08,6,15,2008,N,7,0.445,31,54,U,N,U,NA,R,NA,NA,521,N
477,15,6/4/08,6,4,2008,N,9,0.445,31,59,U,N,U,NA,R,NA,NA,276,N
382,13,5/31/08,5,31,2008,N,4,0.447,31,59,U,N,U,NA,R,NA,NA,NA,N
841,27,6/17/08,6,17,2008,N,4,0.451,31,57,U,N,U,NA,R,NA,NA,632,N
2635,85,6/14/09,6,14,2009,N,4,0.453,31,52,U,N,U,NA,R,NA,NA,NA,Y
476,15,6/4/08,6,4,2008,N,7,0.454,31,60,U,N,U,NA,R,NA,NA,275,N
1696,55,11/15/08,11,15,2008,N,7,0.46,31,60,U,N,U,NA,R,NA,NA,1224,N
401,13,6/1/08,6,1,2008,N,4,0.461,31,57,U,N,U,NA,R,NA,NA,205,N
2131,69,5/9/09,5,9,2009,N,7,0.467,31,60,U,N,U,NA,R,NA,NA,NA,N
